asin	relation	attribute
1476766665	title	Rusty Nailed (The Cocktail Series)
1476766665	description	We want to bask in this afterglow: giddy, blushing, and utterly in love with this book. (Christina Lauren, NYT/USA Today & International Bestselling authors of The Beautiful Bastard Series, on RUSTY NAILED)Wallbanger is an instant classic, with plenty of laugh out loud moments and riveting characters-highly recommended. (NYT and USA Today best-selling author Jennifer Probst)Fun and frothy, with a bawdy undercurrent and a hero guaranteed to make your knees wobbly, WALLBANGER will keep you up all night. In a good way. Hilarious, romantic, and compulsively readable, WALLBANGER delivers the perfect blend of sex, romance, and baked goods. (Ruthie Knox, best-selling author of About Last Night)Caroline Reynolds. Finally a woman who knows her way around a man and a KitchenAid Mixer. She had us at zucchini bread! (Curvy Girl Guide on Wallbanger)A funny, madcap, smexy romantic contemporary that had me reading straight through. Fast pacing and a smooth flowing storyline will keep you in stitches as Wallbanger and Nightie Girl begin the battle of the headboard. Filled with plenty of humor, sarcasm, engaging dialogue, and well developed characters-I didnt stop laughing till the end. (Smexy Books on Wallbanger)
1476766665	description	Alice Claytonworked in the cosmetics industry for over a decade before picking up a pen (read: laptop). She enjoys gardening but not weeding, baking but not cleaning up, and finally convinced her long-time boyfriend to marry her. And she finally got her Bernese Mountain Dog.
1476765340	title	Collide: Book One in the Collide Series
1476765340	description	"""Collide is the epitome of a great love story . . . sexy, emotional, and absolutely unforgettable. Gavin Blake will steal your heart and never let it go. "" (A. L. Jackson, New York Times bestselling author of the Regret series)Collide sucked me in from the very first sentence and didnt let go until the end. Gail McHugh seamlessly takes you on a roller coaster ride of emotions that will leave you begging for the next book! (Tara Sivec, USA TODAY bestselling author of the Playing with Fire series)I asked for something that would make me fall in love, and boy was it delivered (Maryse's Book Blog)Gail McHugh took me on an emotional, devastating, yet delicious love triangle of a roller coaster ride with Collide. Prepare yourself because you'll rip your hair out, scream, love, and have one of the worst book hangovers of all time. (E. L. Montes, USA TODAY bestselling author of the Disastrous Series)Collide was easily the best romance I've read all year. Gavin Blake ignites the pages the moment he steps foot into the story. Once I started, I knew sleep wouldn't be an option until I finished. It was addicting and I loved every minute of it. This novel is one I highly recommend to my readers. (Michelle A. Valentine, New York Times bestselling author of the Black Falcon series)Collide is a brilliant read that infuses complicated dynamics of heartbreak with an ardent balance of sexual tension and untamed passion. Gail McHugh methodically created a pulse for every womans ultimate book boyfriend when she penned Gavin Blake. (Gretchen de la O, author of the Wilson Mooney Series)"
1476765340	description	Gail McHugh is the author of the New York Times bestsellers Collide and Pulse. She is the mother of three beautiful children and has been married to her husband for fifteen years.
1476776075	title	You Were Mine: A Rosemary Beach Novel (The Rosemary Beach Series)
1476776075	description	Abbi Glines is theNew York Times,USA TODAY, andWall Street Journalbestselling author of the Rosemary Beach, Field Party, Sea Breeze, Vincent Boys, and Existence series. A devoted book lover, Abbi lives with her family in Alabama. She maintains a Twitter addiction at @AbbiGlines and can also be found at Facebook.com/AbbiGlinesAuthor and AbbiGlines.com.
1476776075	description	You Were Mine    Tripp Eight years ago It wasnt just another summer. It was my last summer here in Rosemary Beach. I was already feeling the suffocating presence of my father and his plans for me. He was so sure Id leave for Yale in the fall. Id gotten in, thanks to his connections. Hed made me take a tour of the campus, and once I was in, hed forced me to accept. Nobody turns down Yale. It was all that ever came out of his mouth anymore. Yale this, Yale that. Goddamn Yale. I wanted to be on my Harley. I wanted another fucking tattoo. I wanted to feel the wind in my hair and know I had nowhere I had to be. That life was free. I was free. Before this summer was over, I was going to ride off without a word. Leave behind the money and power that came with being a Newark and find my path. This wasnt my world. I would never fit in here. Hey, sweetie, I didnt see you walk in, London Winchester said as she slipped her arms around one of mine and held on. That was another reason I had to get the fuck out of here. London. My mother was already planning our wedding. Didnt matter that Id broken up with her last month. London, her mother, and my mother all believed I was just going through a moody phase or something. My mother said it was OK if I needed to sow some wild oats this summer. London would be patient. Wheres Rush? I asked, glancing around the house full of people. If Rush Finlay was throwing parties again, then his mother and his younger sister, Nan, had to be out of town. Rush owned the place. His father was the drummer in the legendary rock band Slacker Demon. His mother and his sister benefited from all the money Rush had, thanks to his dad. Rushs mother had been a groupie once, and although Rushs dad, Dean Finlay, seemed to care about his kid, he didnt give a shit about Rushs mom. They had never married. Nan had another father, who was also out of the picture. Outside by the pool. Want me to take you to him? she asked sweetly. That sweet tone was so fucking fake it was ridiculous. The girl was venomous. Id seen her in action. I can find him, I replied, shaking her loose and walking away without a backward glance. Really? This is how youre going to be now? I wont wait around on you forever, Tripp Newark! she called out after me. Good, I said calmly over my shoulder, then headed into the crowd, hoping to get some people and some distance between us. Id been with her for two years. Shed been a really good fuck, and once I thought maybe she was it. But I could never actually say I was in love with her. This past year, I had realized I was simply tolerating her. I dreaded seeing her, and when I faced the facts, I realized I was keeping her around to make my parents happy. But I was done with that. No more keeping the parents happy. I was keeping me happy. Tripp! Woods Kerrington called out from a circle of girls surrounding him. He was such a fucking Romeo. He made them all believe they had a chance. Holding in a chuckle, I nodded my head in his direction. Whats up. Hopefully a lot of things real soon, he replied, and this time I laughed. Jace is outside with Rush and Grant if youre looking for him. Thanks. Jace was my younger cousin, and Woods was Jaces best friend. Id had them both in my life for as long as I could remember. Turning through the crowd, I headed for the back door. Stop it! I said no, Jonathon. Im not interested. I stopped in my tracks. That didnt sound good. I got you in here tonight, and Im not getting any thanks for it? The guy was angry and sounded like a prick. The girl didnt respond right away. I moved toward their voices and stopped outside the kitchen. I recognized the Jonathon guy the girl was talking to. He was a tennis instructor at Kerrington Country Club, which was owned by Woodss family. He was also a notorious asshole and had fucked most of the cougars in town. If he was about to take advantage of this girl, then I was going to throw his ass out. I just . . . I didnt know . . . I want to leave. The way the girls timid voice cracked told me she was scared. Fuck that, bitch. I dont care how damn hot your tits are. Im not dealing with this shit. You can find the door by yourself, Jonathon snarled. I took a step toward the door as Jonathon stalked through it. Stupid little fuck. I shoved him back into the kitchen with one hard push. He was going to apologize for being a dickhead before I threw him out. I doubted Rush even knew he was here. Jonathon wasnt in our circle of friends. Some of the cougars he had slept with included a couple of our mothers. Not on our favorites list. Getting his sorry ass to apologize would do him some good. Poor girl should have known better than to mess around with the help at the club. Maybe shed learn a lesson after this. What the fuck? he shouted, and then his eyes widened when he realized who I was. My dad sat on the board at the Kerrington Club, and I could have Jonathon fired with one word. He knew it. Thats what I was wondering, Jonathon. What the fuck? What the fuck are you doing at Finlays house, and why the fuck are you treating your date so badly? She too young for you? I know you prefer the over-forty crowd, I said, taunting him. I wanted him gone. Just one wrong move, and that was all I needed to make sure he lost his job without feeling a shred of remorse. I didnt . . . I mean, I was invited. I got an invite. This is just a girl whose aunt works at the club. Shes not anybody. Glancing over at the girl in question, I recognized her right away from her big brown eyes. She was Darlas niece, Bethy. Id seen her before. Hell, it was hard to miss her. Jonathon was right about her tits. They were noticeable. But her sweet face and innocent look had kept me from moving in on that. Besides, Darla was scary as hell. She handled hiring the employees at the club, and shed been there forever. Bethy, right? I asked her. Her big eyes got even bigger before she nodded. This guys a douchebag, sweetheart. You shouldnt trust him. Be careful who you let take you out. You know her? Jonathon asked incredulously, as if she were too beneath me to notice. Stupid shit was getting on my last nerve. I turned my attention back to him. Yeah. I know her aunt. The woman who hired your sorry ass. I wonder how shed feel if she knew how poorly you were treating her niece? Jonathons fear was obvious. He had a good gig at the club, and he didnt want to lose it. Leave. Dont ever come back. Finlay finds out about this, hell do more than give you a warning. Hell beat your sorry ass. He likes Darla. We all do. Stay the fuck away from her niece. Jonathon turned his attention to Bethy. The furious gleam in his eyes was directed at her. She shrank farther back, putting more distance between them until her back was pressed to the wall. Dickhead was getting off on scaring her. Stepping between the two of them, I glared at Jonathon. Leave. Now. I could tell it was taking everything he had to keep his mouth shut, but he did. I watched as he muttered a curse and turned to leave the kitchen. Make sure you dont stop until youre off this property, I called out after him. When he was gone, I turned back to Bethy. She was wringing her hands and looking nervous. Id gotten rid of the prick. Why was she upset now? You good now? I asked her. She bit her bottom lip, then shrugged. I, um, dont know. She didnt know? I couldnt keep from grinning. She was pretty damn cute. But she was young. Why dont you know? I asked. I enjoyed the way she talked. Her voice was husky but sweet. She let out a small sigh and dropped her gaze to the floor. He was my ride. I dont live close by. As if I would let her get back into the car with that fucker. He had to be four years older than her. He was older than me. Ill give you a ride. Im safe. Jonathon isnt. Besides, hes way too old for you. Dude would go to jail if he touched you. She lifted her eyes back up to look at me. Im almost seventeen, she said, as if that were legal, although she was a little older than I expected. She was so expressive. I liked that. She didnt try to bat her eyelashes or pucker her lips to look sexy. She was real. How long had it been since Id been with a girl who was real? But then, she was young, and shed been raised in a very different world from mine. Yeah, sweetheart. But hes almost twenty. He shouldnt have gone anywhere near you. She looked deflated, then nodded. Surely she hadnt wanted to stay with him? Fuck that, what was Darla teaching this girl? Im sorry I ran him off, but he wasnt treating you right. Those eyes went wide again, and a dimple appeared in her cheek. Oh, dont apologize for that. He wanted me to go back to a bedroom and uh . . . She trailed off. She didnt need to explain. I was pretty sure of what he wanted to do back in a bedroom with her. Come on. Lets get you home, I said, nodding toward the door.|You Were Mine    Prologue Tripp Everyone has that defining moment in life. That one choice you have to make. I had my moment, and it has haunted me ever since. In those defining moments, you either pave a road to happiness or you regret every step from then on. For me, I dont know which road would have been the best, because between my two choices, neither of them included her. I was young and so fucking scared. Scared of being forced by my parents to be someone I didnt want to be. Scared of making the wrong choice. Scared of leaving her. But mostly, I was scared of losing her. She was my regret. Leaving her changed me. The moment I climbed onto my bike and drove out of Rosemary Beach, Florida, I left true joy behind. Id only had that summer with her, three months that altered me forever. But what I would never be able to forgive myself for was that they had changed her just as much. She was beyond broken now. I couldnt reach her. Seeing her in pain broke my soul. Losing my cousin Jace had caused deep pain in both of us, something I never wanted to relive. He would forever be in my heart. Id never forget his laugh and the easy way he loved and lived his life. He didnt live in the world of fear I inhabited. He chose his path, and he walked it. He was the better man. And I had been able to stand back and let him have her. She deserved the better man. Now he was gone, and both of our worlds were thrown off-balance. Because I couldnt stand back anymore. No one was protecting her. No one was holding her, but she wouldnt fucking let me near her. She wasnt going to let me fix the past. Id severed any hope of that when Id driven away and left her with no other choice but to be with Jace. If only I could embrace the emptiness and accept it. But I couldnt. Not when I saw her lost, beautiful face. She needed me as much as I needed her. Our story wasnt over. It would never be over. If I had to stay here and watch over her, even though she wouldnt let me get near her, I would. For the rest of my motherfucking life. Id stay right here. Making sure my Bethy was OK.
1476777969	title	Dirty Rowdy Thing (Wild Seasons)
1476777969	description	"""A sexy, sweet treasure of a story. I loved every word."" ((Sylvia Day, #1 New York Times bestselling author on Sweet Filthy Boy))""Readers will quickly fall for Finn. Lauren has mastered writing delectable heroes and strong-willed heroines to match, and the contrast between the rough-edged Finn and polished Harlow makes for a passionate romance."" (RT Book Reviews)The pseudonymous writing duo behind Beautiful Bastard (2013) continues the Wild Seasons series with a sequel that is both dirty and rowdy. When a friend's comic-book store opening brings Finn to Harlow's neighborhood, they can't deny their lingering feelings for long […] In addition to casual sex, the two distract themselves from more serious life issues with authentic regional fun involving comic books and craft beers with their friends, who make for hilarious secondary characters. Fans will appreciate that Mia and Ansel, who were the focus of Book 1 [Sweet Filthy Boy], are still together when they all meet up at the grand opening. In a story that is easily devoured in one sitting, the details are sparse but spot-on—""Apparently there are a lot of nerds in San Diego,"" notes Finn—and witty dialogue carries the plot swiftly to a happy ending. The romance unfolds like a series of drunken text messages, which, perhaps surprisingly, is not a bad thing. (Kirkus)“Sweet Filthy Boy lives up to every yummy bit of its title. Each word, each thought, each touch from Ansel is pure, unadulterated SEX. Christina Lauren's assured writing and their ability to create a scorching and witty love story makes them an automatic 1-Click for us.” (The Rock Stars of Romance)""Sweet Filthy Boy had my heart pounding from cover to cover and reminded me of first loves and being young. A must-read!"" (Fangirlish)""Fun. Sexy. Captivating. Sweet Filthy Boy was everything I've come to expect from this dynamic duo!"" (The Autumn Review)""No one is doing hot contemporary romance like Christina Lauren. Sweet Filthy Boy is beyond swoon worthy. Just give me Book Two right now."" (Bookalicious)“It's official: I'd read Christina Lauren's grocery list if they'd let me. The girls wrote the French-boy fantasy I didn't know I had. Just when I thought I didn't have time for yet another book boyfriend, I made time for Ansel....” (That's Normal)“Hot . . . if you like your hook-ups early and plentiful..."" ((EW.com on Beautiful Bastard)) “A devilishly depraved cross between a hardcore porn and a very special episode of The Office…For us fetish-friendly fiends to feast on!!” (PerezHilton.com)"
1476777969	description	Christina Lauren is the combined penname of longtime writing partners/best friends Christina Hobbs and Lauren Billings, the New York Times, USA TODAY, and #1 International bestselling authors of The Beautiful and Wild Seasons series, Dating You/Hating You, Roomies, Love and Other Words, Josh and Hazel’s Guide to Not Dating, and the critically acclaimed Autoboyography. You can find them online at ChristinaLaurenBooks.com, Facebook.com/ChristinaLaurenBooks, or @ChristinaLauren on Twitter.
1476776040	title	Forever Too Far: A Rosemary Beach Novel (The Rosemary Beach Series)
1476776040	description	Abbi Glines is the New York Times, USA TODAY, and Wall Street Journalbestselling author of the Rosemary Beach, Field Party, Sea Breeze, Vincent Boys, and Existence series. A devoted book lover, Abbi lives with her family in Alabama. She maintains a Twitter addiction at @AbbiGlines and can also be found at Facebook.com/AbbiGlinesAuthor and AbbiGlines.com.
1476764468	title	Remy (The REAL series)
1476764468	description	Katy Evans lives with her husband and their two children plus three lazy dogs in south Texas. Some of her favorite pastimes are hiking, reading, baking, and spending time with her friends and family. She is the New York Times and USA TODAYbestselling author of Manwhore, Manwhore +1, Ms. Manwhore, and The REAL series: REAL, MINE, REMY, ROGUE, RIPPED, and LEGEND. For more information on Katy Evans visit her website KatyEvans.net, and follow her on Facebook and Twitter, @AuthorKatyEvans.
1476782318	title	Find You in the Dark
1476782318	description	"""I cant recommend A. Meredith Walters' books enough...You dont leave her books behind after the story has ended. These are the kinds of books you carry with you."" (In The Best Worlds)""There is no question that A. Meredith Walters is one of my favorite authors. She always writes her stories so that we can relate to the characters, they jump out of the books and into our hearts each and every time. Her books have deep meaning to them but are also sweet and sassy with some sexy to steam up the pages."" (Book Addict Mumma Book Blog)""BRILLIANT, AMAZING, GUT-WRENCHING!"" (Shh Mom's Reading Book Blog)"
1476782318	description	A. Meredith Walters is the New York Times and USA TODAY bestselling author of New Adult novels including Bad Rep, Perfect Regret, Lead Me Not, and the Find You in the Dark series. Before becoming a full-time writer, she worked as a counselor for troubled and abused children and teens. She currently lives in England with her husband and daughter.
1476791457	title	Confess: A Novel
1476791457	description	"""I was drawn into it immediately!"" (Sarah Pekkanen, Internationally bestselling author of The Opposite of Me)""Hoover will pull heartstrings in this second-chance love story… edgy, sexy."" (Booklist, Online Review)""Colleen Hoover has given us another book with which to fall in love. Another book that grips us, surprises us, makes us laugh. Another book brimming with feeling.” (Vilmas Book Blog)""You will devour it. You will worship it. You will sigh with joy because you are experiencing the lyrical and spell bounding prose of CoHo again... filled with suspense, unique characters, and of course the brutal gut-wrenching moments that's expected of any CoHo novel…brilliant, fresh and new.” (Rock Stars of Romance)""[Colleen Hoover] is a true genius and a gifted storyteller.” (Shh Moms Reading)""If you're a fan of Colleen Hoover's books, Confess is a definite must-read!... Crazy and lovely and everything I expect from Colleen Hoover.” (Shameless Book Club)“Perfection. Utter perfection... I loved every gut wrenching part.” (Random Book Muses)""Colleen Hoover is a hands-down genius. When she writes, it’s like magic flows onto the pages. Her writing style is like no other, and her capabilities of telling a story are incredible. Confess made me laugh, cry, and swoon.... Bravo to Colleen for another amazing must-read!” (Anas Attic Book Blog)“Colleen wove an absolutely beautiful story.... It had me by the heart until the very last sentence! A breathtaking book that should not be missed.” (Christys Love of Books)“This story is absolutely incredible... simply amazing. It's perfection in written form. There is something for everyone in these pages. So just buy it, read it, love it!! You won't regret it! 5 +++ Stars!”  (Chicks Controlled by Books)"
1476791457	description	Colleen Hoover is the #1 New York Times bestselling author of Slammed, Point of Retreat, This Girl, Hopeless, Losing Hope, Finding Cinderella, Maybe Someday, Maybe Not, Ugly Love, Confess, November 9, It Ends with Us, and Without Merit. She has won the Goodreads Choice Award for Best Romance three years in a row—for Confess (2015), It Ends with Us (2016), and Without Merit (2017). Confess was adapted into a seven-episode online series. In 2015, Colleen and her family founded The Bookworm Box, a bookstore and monthly subscription service offering signed novels donated by authors. All profits are given to various charities each month to help those in need. Colleen lives in Texas with her husband and their three boys. Visit ColleenHoover.com.
1476783284	title	Finding Cinderella: A Novella
1476783284	description	Colleen Hoover is the author of sixNew York Timesbestselling novels. The SLAMMED series, which includes SLAMMED, POINT OF RETREAT and THIS GIRL. The HOPELESS series, which includes HOPELESS, LOSING HOPE and the free novella FINDING CINDERELLA. Her most recent release is the NYT's bestseller, MAYBE SOMEDAY, which includes links to an original soundtrack by musician Griffin Peterson.Her next standalone, UGLY LOVE, is scheduled to release August 5th, 2014.You can follow Colleen on Instagram and Twitter @colleenhoover. You can also find her on her blog at colleenhoover.com where she holds a daily book-a-day giveaway, or on her very active Facebook page at facebook.com/authorcolleenhoover where she loves to give away more free stuff when her husband isn't looking.
1476783284	description	Finding Cinderella 
1476785880	title	Tied (The Tangled Series)
1476785880	description	Do you see how he's looking at her on that cover? Look closer if you have to. That look on his face tells every Drew Girl what she needs to know: TIED is sublimely irreverent, massively sexy and so frigging perfect readers will be bursting with giddy smiles. This, praise Emma, is the ending we all wanted. (Christina Lauren, NYT, USA Today & International Bestselling author)
1476785880	description	By day, Emma Chase is a devoted wife and mother who lives in a small, rural town in New Jersey. By night, she toils away bringing her colorful characters and their endless antics to life. Writing has always been her passion, and the release of her debut romantic comedy Tangled was nothing less than a dream come true. The subsequent books in her delightful, beloved series include Twisted, Tamed, and Tied. She is also the author of Sustained from her sexy new Legal Briefs series.
1477805052	title	Wethering the Storm
1477805052	description	"""Jake. Freaking. Wethers. I missed you, you hunk of a rock star! This book was one of my most highly anticipated sequels this year and it was perfect!"" —Vilma’s Book Blog""Wethering The Storm lived up to my every expectation and was the perfect ending to Jake and Tru’s story. It brought their journey full circle and ended on a beautiful note."" —Aestas Book Blog"
1477805052	description	Samantha Towle began her first novel in 2008 while on maternity leave. She completed the manuscript five months later and hasnt stopped writing since. She is the author of The Mighty Storm, The Bringer and the Alexandra Jones series, all penned to tunes of The Killers, Kings of Leon, Adele, The Doors, Oasis, Fleetwood Mac, and more of her favorite musicians. A native of Hull and a graduate of Salford University, she lives with her husband, Craig, in East Yorkshire with their son and daughter.
1477808663	title	The Game Changer: A Novel
1477808663	description	J. Sterling started writing after getting fired from her last job. Soon after, she realized writing books meant so much more to her than working her butt off for someone who didnt care about anything other than the bottom line. She is the bestselling author of The Perfect Game. Visit J. Sterling at www.j-sterling.com.
1477809201	title	Fraternize (Players Game)
1477809201	description	Van Dyken has brought her A game to the first book in her new series. Fraternize is a witty and sexy read.A perfect combination of funny, laugh-out-loud moments and hot, steamy ones. RT Book Reviews
1477809201	description	Van Dyken (Cheaters Regret) crafts a strong romance....The actual progress toward a happily-ever-after for two of the three members of this love triangle is delightful. Publishers Weekly
1477809201	description	Whether theyre Regency romance or sexy New Adult fiction, Rachel Van Dykens novels have appeared on national bestseller lists, including the New York Times, the Wall Street Journal, and USA Today. She writesa lotbut makes sure she takes time to enjoy the finer things in life, like strong coffee, watching The Bachelor, and dreaming up hot new hunks.
1477809201	description	Rachel may get way too excited about the little things, but she loves the important things in life, toolike living in Idaho with her husband, son, and two boxers. Follow her writing journey at www.RachelVanDykenAuthor.com and www.facebook.com/rachelvandyken.
1477817182	title	Out of Breath (Breathing)
1477817182	description	"""A heartbreaking, yet heartwarming ending to a series that captivated me from start to finish."" - Colleen Hoover, New York Times bestselling author of Hopeless"
1477817182	description	I loved being in Emmas world, even when things were so dark that I found myself worried for her. The journey of her life through the past three books has literally left me out of breath. I have been recommending this book to my friends and family left and right. Night Owl Reviews (Top Pick selection)
1477817158	title	Left Drowning
1477817158	description	Left Drowning is a powerful, sexy, unflinching story about letting go and learning to love. It's about sinking and swimming, collapsing and surviving, and ultimately about the strength it takes to love. You wont be able to put it down. Tracey Garvis Graves, author of On the Island and Covet
1477817158	description	Beautifully emotional and ferociously sexy! Colleen Hoover, author of Hopeless and Slammed
1477817158	description	"""The romance and intensity left me spinning, left me breathless, left me wanting more."" Jamie McGuire, author of Beautiful Disaster and Walking Disaster"
1477817158	description	"""With strong writing and a compelling plot, Park tells a multifaceted story"" Romantic Times"
1477817158	description	New York Times bestselling author Jessica Park mines the territory of loves growing pains with wit, sharp insights, and a discernible heat and heartbeat. Her previous novels include Flat-Out Love, Relatively Famous, and she authored the e-shorts What the Kid Says (Parts 1 and 2) and Facebooking Rick Springfield. Please visit Jessica on the web, Twitter, and Facebook at these locations: jessicapark.me @JessicaPark24 https://twitter.com/JessicaPark24 https://www.facebook.com/authorjessicapark
1477817492	title	Off the Record
1477817492	description	"""The first book of the Record trilogy provides a high-stakes, steamy romance. Linde's love for her characters and her subject matter make this story a fascinating chess match of politics and personal desires...Linde has developed an interesting conundrum for her characters that promises much for future installments."" RT Book Reviews"
1477817492	description	K.A. Linde, a USA Today bestselling author, has written the Avoiding series and the Record series as well as the new adult novels Following Me and Take Me for Granted. She grew up as a military brat traveling the United States and Australia. While studying political science and philosophy at the University of Georgia, she founded the Georgia Dance Team, which she still coaches. Post-graduation, she served as the campus campaign director for the 2012 presidential campaign at the University of North Carolina at Chapel Hill. An avid traveler, reader, and bargain hunter, K.A. lives in Athens, Georgia, with her fianc and two puppies, Riker and Lucy.
1477817506	title	Beautifully Damaged
1477817506	description	L.A. Fiore loves writing and losing herself in the world of her characters. When shes not writing, she can usually be found creating colorful chaos through gardening and playing the piano. She lives with her husband and two children in Bucks County, Pennsylvania, where she was born and raised.
1477821589	title	Beautiful Broken Rules
1477821589	description	USA Today bestselling author Kimberly Lauren started out life as an avid reader. Inspired to challenge the more traditional relationship roles she came across while reading romances, she decided to write the scintillating and celebrated new adult series Broken. She currently resides in Texas with her husband, their son, and their three dogs.
1477823883	title	On the Record
1477823883	description	[A] tense, emotional sequel...this is a mature and tender examination of a young woman struggling with questions of when to settle, when to fight, and how to move on. Publishers Weekly
1477823883	description	K.A. Linde, a USA Today bestselling author, has written the Avoiding series and the Record series as well as the new adult novels Following Me and Take Me for Granted. She grew up as a military brat traveling the United States and Australia. While studying political science and philosophy at the University of Georgia, she founded the Georgia Dance Team, which she still coaches. Post-graduation, she served as the campus campaign director for the 2012 presidential campaign at the University of North Carolina at Chapel Hill. An avid traveler, reader, and bargain hunter, K.A. lives in Athens, Georgia, with her fianc and two puppies, Riker and Lucy.
1477820388	title	More Than This
1477820388	description	Jay McLean is an avid reader, writer, and, most of all, procrastinator. She writes what she loves to readbooks that can make her laugh, make her smile, make her hurt, and make her feel. She currently lives in Australia with her fianc, two sons, and two dogs.
1477820388	description	Follow Jay on Instagram and Twitter @jaymcleanauthor. For more information, visit her blog at www.jaymcleanauthor.com.
1477829113	title	The Consequence of Loving Colton
1477829113	description	"The Consequence of Loving Colton is a must read friends-to-lovers story thats as passionate and sexy as it is hilarious! Melissa Foster, New York Times bestselling authorJust when you think Van Dyken cant possibly get any better, she goes and delivers The Consequence of Loving Colton. Full of longing and breathless moments, this is what romance is about. Lauren Layne, USA Today bestselling authorAbsolutely brilliant! Laugh out loud funny, with the perfect amount of tenderness and heat to keep me captivated to the very end."" J.L. Berg, USA Today bestselling authorThe tension between Milo and Colton made this story impossible to put down. Quick, sexy, wittyeasily one of my favorite books from Rachel Van Dyken."" R. S. Grey, USA Today bestselling author""From the very first page you will be hooked! Milo and Colton's story had me laughing out loud, swooning, then back to laughing. It was an amazing ride that I didn't want to end. Rachel Van Dyken out did herself with this one!"" Kelly Elliott, New York Times bestselling author"
1477829113	description	Rachel Van Dyken is a New York Times, Wall Street Journal, and USA Today bestselling author of several Regency and contemporary romance series and stand-alone novels. When shes not writing, you can find her keeping Starbucks in business or plotting her next book while watching The Bachelor. She currently resides in Idaho with her husband and two boxers. Readers can follow her writing journey at rachelvandykenauthor.com.
1479390046	title	Rock the Heart (Black Falcon)
1479390046	description	Excerpts and teasers: michelleavalentine.blogspot.com/
1479390046	description	Michelle A. Valentine is a Central Ohio nurse turned author of erotic romance of forthcoming novels ROCK THE HEART (2012) and ROCK MY BED (2013). Her love of hard-rock music, tattoos and sexy musicians inspired her erotic series ROCK THE HEART.
1480114480	title	the proposition
1480114480	description	Katie Ashley is a pseudonym for Krista Ashe, the New York Times bestselling author of The Proposal, The Proposition, and Nets and Lies, along with several young adult titles.
1480276855	title	Come Away With Me: Book One in the With Me In Seattle Series (Volume 1)
1480276855	description	Kristen Proby has made a living as a massage therapist, a medical biller, a registrar in an Emergency Room, and a professional photographer. But what feeds her soul is writing romantic, erotic love stories about strong women who dont necessarily need saving, and gorgeous, alpha-type men who want to save them anyway. Kristen lives in the amazing Pacific Northwest where, conveniently, her muse lives too.
1480568112	title	Captivated by You (Crossfire)
1480568112	description	Sylvia Day is the #1 New York Times and #1 international bestselling author of over twenty award-winning novels sold in more than forty countries. She is a #1 bestselling author in twenty-eight countries, with tens of millions of copies of her books in print. Her Crossfire series has been optioned for television by Lionsgate. Visit Sylvia at www.SylviaDay.com, Facebook.com/AuthorSylviaDay and on Twitter @SylDay.
148142081X	title	Hold On Tight (Sea Breeze)
148142081X	description	Abbi Glines is the New York Times, USA TODAY, and Wall Street Journalbestselling author of the Rosemary Beach, Field Party, Sea Breeze, Vincent Boys, and Existence series. A devoted book lover, Abbi lives with her family in Alabama. She maintains a Twitter addiction at @AbbiGlines and can also be found at Facebook.com/AbbiGlinesAuthor and AbbiGlines.com.
